key,uid,title,modified_date,saved_file,updated_at,status
uid:a4d74b16-5fad-492b-b3a0-c7b34b4b2d5a,a4d74b16-5fad-492b-b3a0-c7b34b4b2d5a,상세보기 : 충청남도_서산시_태양광발전소전기사업허가정보,2025-06-20,generator_next\source\raw_csv\충청남도_서산시_태양광발전소전기사업허가정보_20250617.csv,2026-02-25T02:22:33,skipped:up_to_date
uid:a5790c3d-acf3-4937-b763-e9e4d473d7c0,a5790c3d-acf3-4937-b763-e9e4d473d7c0,상세보기 : 경상남도_거제시_태양광발전소전기사업허가정보,2026-01-23,generator_next\source\raw_csv\경상남도_거제시_태양광발전소전기사업허가정보_20260123.csv,2026-02-25T02:21:46,skipped:up_to_date
uid:a780fb31-bcc2-4d3c-82e5-edbd00058c88,a780fb31-bcc2-4d3c-82e5-edbd00058c88,상세보기 : 강원특별자치도_홍천군_태양광발전소전기사업허가정보,2024-09-24,generator_next\source\raw_csv\강원특별자치도_홍천군_태양광발전소전기사업허가정보_20240920.csv,2026-02-25T02:23:01,skipped:up_to_date
uid:a86695b1-c98e-4dab-8d06-e2fbcd13b8cd,a86695b1-c98e-4dab-8d06-e2fbcd13b8cd,상세보기 : 서울특별시_강동구_태양광발전소전기사업허가정보,2024-10-08,generator_next\source\raw_csv\서울특별시_강동구_태양광발전소전기사업허가정보_20241008.csv,2026-02-25T02:22:52,ok
uid:aaec5783-7a59-4064-b0fe-bc71ea4420ba,aaec5783-7a59-4064-b0fe-bc71ea4420ba,상세보기 : 경기도_광명시_태양광발전소전기사업허가정보,2025-12-12,generator_next\source\raw_csv\경기도_광명시_태양광발전소전기사업허가정보_20251211.csv,2026-02-25T02:21:56,skipped:up_to_date
uid:aaf52095-22c1-4044-8b93-c4667e814c54,aaf52095-22c1-4044-8b93-c4667e814c54,상세보기 : 경상남도_남해군_태양광발전소전기사업허가정보,2025-11-25,generator_next\source\raw_csv\경상남도_남해군_태양광발전소전기사업허가정보_20251120.csv,2026-02-25T02:22:03,ok
uid:ae279308-70b0-4ee5-b67d-b7cf79836dda,ae279308-70b0-4ee5-b67d-b7cf79836dda,상세보기 : 경상북도_경산시_태양광발전소전기사업허가정보,2025-11-28,generator_next\source\raw_csv\경상북도_경산시_태양광발전소전기사업허가정보_20251119.csv,2026-02-25T02:22:02,skipped:up_to_date
uid:afa4c4cc-ce0e-46bd-be03-fb73445c3b78,afa4c4cc-ce0e-46bd-be03-fb73445c3b78,상세보기 : 전북특별자치도_진안군_태양광발전소전기사업허가정보,2025-03-14,generator_next\source\raw_csv\전북특별자치도_진안군_태양광발전소전기사업허가정보_20250311.csv,2026-02-25T02:22:41,skipped:up_to_date
uid:b006469e-27c8-48c8-a493-cff575ef1572,b006469e-27c8-48c8-a493-cff575ef1572,상세보기 : 충청남도_금산군_태양광발전소전기사업허가정보,2025-06-02,generator_next\source\raw_csv\충청남도_금산군_태양광발전소전기사업허가정보_20250411.csv,2026-02-25T02:22:36,skipped:up_to_date
uid:b11a00f6-d7bd-46d5-9da5-af9f71ec8360,b11a00f6-d7bd-46d5-9da5-af9f71ec8360,상세보기 : 전라남도_영광군_태양광발전소전기사업허가정보,2025-09-22,generator_next\source\raw_csv\전라남도_영광군_태양광발전소전기사업허가정보_20250919.csv,2026-02-25T02:22:21,skipped:up_to_date
uid:b40e92bb-0239-486f-a48d-fba8b9dc30fa,b40e92bb-0239-486f-a48d-fba8b9dc30fa,상세보기 : 전북특별자치도_부안군_태양광발전소전기사업허가정보,2025-11-06,generator_next\source\raw_csv\전북특별자치도_부안군_태양광발전소전기사업허가정보_20251103.csv,2026-02-25T02:22:14,ok
uid:b59f05fd-d8e2-4b43-876b-cc45e998627d,b59f05fd-d8e2-4b43-876b-cc45e998627d,상세보기 : 경기도_파주시_태양광발전소전기사업허가정보,2025-09-18,generator_next\source\raw_csv\경기도_파주시_태양광발전소전기사업허가정보_20250916.csv,2026-02-25T02:22:24,ok
uid:b8c60076-1e6f-45a4-ad3c-b9b38a4a5366,b8c60076-1e6f-45a4-ad3c-b9b38a4a5366,상세보기 : 경상북도_예천군_태양광발전소전기사업허가정보,2025-12-12,generator_next\source\raw_csv\경상북도_예천군_태양광발전소전기사업허가정보_20251209.csv,2026-02-25T02:21:56,ok
uid:b9cde4a6-b806-488c-9033-aedd2fc537b5,b9cde4a6-b806-488c-9033-aedd2fc537b5,상세보기 : 경상남도_합천군_태양광발전소전기사업허가정보,2025-12-03,generator_next\source\raw_csv\경상남도_합천군_태양광발전소전기사업허가정보_20251128.csv,2026-02-25T02:21:59,skipped:up_to_date
uid:ba77645f-93e7-4c63-a251-a2b7c6941da4,ba77645f-93e7-4c63-a251-a2b7c6941da4,상세보기 : 강원특별자치도_삼척시_태양광발전소전기사업허가정보,2025-12-15,generator_next\source\raw_csv\강원특별자치도_삼척시_태양광발전소전기사업허가정보_20251215.csv,2026-02-25T02:21:54,ok
uid:bc49fae7-fec8-44a6-b776-fd534a1b64fa,bc49fae7-fec8-44a6-b776-fd534a1b64fa,상세보기 : 경상북도_봉화군_태양광발전소전기사업허가정보,2024-10-11,generator_next\source\raw_csv\경상북도_봉화군_태양광발전소전기사업허가정보_20241011.csv,2026-02-25T02:22:49,ok
uid:bd069762-db20-46ba-96a8-fcd74796c716,bd069762-db20-46ba-96a8-fcd74796c716,상세보기 : 충청남도_논산시_태양광발전소전기사업허가정보,2026-01-12,generator_next\source\raw_csv\충청남도_논산시_태양광발전소전기사업허가정보_20251228.csv,2026-02-25T02:21:51,skipped:up_to_date
