index,page,page_index,uid,title,modified_date,status,saved_file,detail_onclick,download_onclick
103,21,3,063dcde4-a29b-4d84-abe3-b6f91c7871b0,상세보기 : 전라남도_고흥군_태양광발전소전기사업허가정보,2024-10-10,ok,generator_next\source\raw_csv\전라남도_고흥군_태양광발전소전기사업허가정보_20241010.csv,stdObj.fn_fileDataDetail('uddi:063dcde4-a29b-4d84-abe3-b6f91c7871b0'),"fn_fileDataDown('15107742', 'uddi:063dcde4-a29b-4d84-abe3-b6f91c7871b0', 'FILE_000000003041370', '1', 'csv')"
104,21,4,60f6a87a-952c-4aa5-afa7-f761db9cd125,상세보기 : 전라남도_곡성군_태양광발전소전기사업허가정보,2024-10-10,skipped:up_to_date,,stdObj.fn_fileDataDetail('uddi:60f6a87a-952c-4aa5-afa7-f761db9cd125'),
105,22,0,dee4530e-f7e3-43d8-9b52-af00a4abe39a,상세보기 : 경상남도_창원시_태양광발전소전기사업허가정보,2024-10-10,skipped:up_to_date,,stdObj.fn_fileDataDetail('uddi:dee4530e-f7e3-43d8-9b52-af00a4abe39a'),
106,22,1,a86695b1-c98e-4dab-8d06-e2fbcd13b8cd,상세보기 : 서울특별시_강동구_태양광발전소전기사업허가정보,2024-10-08,ok,generator_next\source\raw_csv\서울특별시_강동구_태양광발전소전기사업허가정보_20241008.csv,stdObj.fn_fileDataDetail('uddi:a86695b1-c98e-4dab-8d06-e2fbcd13b8cd'),"fn_fileDataDown('15107742', 'uddi:a86695b1-c98e-4dab-8d06-e2fbcd13b8cd', 'FILE_000000003040784', '1', 'csv')"
107,22,2,86ed0c07-a98b-4045-9c5c-ba2eb97420eb,상세보기 : 전북특별자치도_전주시_태양광발전소전기사업허가정보,2024-10-08,skipped:up_to_date,,stdObj.fn_fileDataDetail('uddi:86ed0c07-a98b-4045-9c5c-ba2eb97420eb'),
108,22,3,80e7a304-ed69-4958-8847-87f58cc240ad,상세보기 : 광주광역시_동구_태양광발전소전기사업허가정보,2024-10-08,ok,generator_next\source\raw_csv\광주광역시_동구_태양광발전소전기사업허가정보_20241006.csv,stdObj.fn_fileDataDetail('uddi:80e7a304-ed69-4958-8847-87f58cc240ad'),"fn_fileDataDown('15107742', 'uddi:80e7a304-ed69-4958-8847-87f58cc240ad', 'FILE_000000003040491', '1', 'csv')"
109,22,4,0c211fee-c674-4c2c-9b1f-aa0c1f6356a5,상세보기 : 경상남도_밀양시_태양광발전소전기사업허가정보,2024-10-08,skipped:up_to_date,,stdObj.fn_fileDataDetail('uddi:0c211fee-c674-4c2c-9b1f-aa0c1f6356a5'),
110,23,0,441104cf-da2e-411d-8a21-ab020dac70a2,상세보기 : 경기도_양평군_태양광발전소전기사업허가정보,2024-10-07,skipped:up_to_date,,stdObj.fn_fileDataDetail('uddi:441104cf-da2e-411d-8a21-ab020dac70a2'),
111,23,1,7e356f17-a1f4-4f67-816d-b136f20365be,상세보기 : 경상북도_영덕군_태양광발전소전기사업허가정보,2024-10-07,ok,generator_next\source\raw_csv\경상북도_영덕군_태양광발전소전기사업허가정보_20241007.csv,stdObj.fn_fileDataDetail('uddi:7e356f17-a1f4-4f67-816d-b136f20365be'),"fn_fileDataDown('15107742', 'uddi:7e356f17-a1f4-4f67-816d-b136f20365be', 'FILE_000000003040036', '1', 'csv')"
112,23,2,12f35f4e-eefb-4c10-b57e-931fb57c4a7f,상세보기 : 충청남도_당진시_태양광발전소전기사업허가정보,2024-10-07,skipped:up_to_date,,stdObj.fn_fileDataDetail('uddi:12f35f4e-eefb-4c10-b57e-931fb57c4a7f'),
113,23,3,6eb47a53-5be3-41b3-b209-d1281fc446d3,상세보기 : 충청남도_태안군_태양광발전소전기사업허가정보,2024-10-07,ok,generator_next\source\raw_csv\충청남도_태안군_태양광발전소전기사업허가정보_20241002.csv,stdObj.fn_fileDataDetail('uddi:6eb47a53-5be3-41b3-b209-d1281fc446d3'),"fn_fileDataDown('15107742', 'uddi:6eb47a53-5be3-41b3-b209-d1281fc446d3', 'FILE_000000003039326', '1', 'csv')"
114,23,4,a3aae110-2cd9-4de2-9c47-c7cbd5deeb58,상세보기 : 전라남도_구례군_태양광발전소전기사업허가정보,2024-10-07,skipped:up_to_date,,stdObj.fn_fileDataDetail('uddi:a3aae110-2cd9-4de2-9c47-c7cbd5deeb58'),
115,24,0,8e61ae09-5aaf-40de-8fa9-f3b4bc69851f,상세보기 : 전라남도_해남군_태양광발전소전기사업허가정보,2024-09-25,skipped:up_to_date,,stdObj.fn_fileDataDetail('uddi:8e61ae09-5aaf-40de-8fa9-f3b4bc69851f'),
116,24,1,7d925bec-c0d8-4e99-9a0e-92b51f47eac8,상세보기 : 서울특별시_동대문구_태양광발전소전기사업허가정보,2024-09-25,ok,generator_next\source\raw_csv\서울특별시_동대문구_태양광발전소전기사업허가정보_20240924.csv,stdObj.fn_fileDataDetail('uddi:7d925bec-c0d8-4e99-9a0e-92b51f47eac8'),"fn_fileDataDown('15107742', 'uddi:7d925bec-c0d8-4e99-9a0e-92b51f47eac8', 'FILE_000000003032459', '1', 'csv')"
117,24,2,7e923b7e-2f8a-4abb-9e3d-d9a7e1b8b558,상세보기 : 울산광역시_태양광발전소전기사업허가정보,2024-09-25,skipped:up_to_date,,stdObj.fn_fileDataDetail('uddi:7e923b7e-2f8a-4abb-9e3d-d9a7e1b8b558'),
118,24,3,7bffd6e5-9323-4385-a50e-fabf70779291,상세보기 : 경상북도_안동시_태양광발전소전기사업허가정보,2024-09-25,ok,generator_next\source\raw_csv\경상북도_안동시_태양광발전소전기사업허가정보_20240924.csv,stdObj.fn_fileDataDetail('uddi:7bffd6e5-9323-4385-a50e-fabf70779291'),"fn_fileDataDown('15107742', 'uddi:7bffd6e5-9323-4385-a50e-fabf70779291', 'FILE_000000003032178', '1', 'csv')"
119,24,4,a0be5a20-c62c-484d-999c-d3c612bf5458,상세보기 : 충청북도_음성군_태양광발전소전기사업허가정보,2024-09-25,skipped:up_to_date,,stdObj.fn_fileDataDetail('uddi:a0be5a20-c62c-484d-999c-d3c612bf5458'),
