sido_code,sido_name,gugun_code,gugun_name,station_count,capacity_mw,generation_mwh,station_count_ratio_pct,capacity_ratio_pct,generation_ratio_pct,collected_at
41,경기도,41210,광명시,31,4,"4,462",0.2,0.2,0.3,2026-02-14T23:08:21.279293
41,경기도,41220,평택시,"1,241",162,"101,973",6.2,7,6.1,2026-02-14T23:08:21.279293
41,경기도,41250,동두천시,105,13,"8,086",0.5,0.5,0.5,2026-02-14T23:08:21.279293
41,경기도,41270,안산시,458,61,"38,868",2.3,2.6,2.3,2026-02-14T23:08:21.279293
41,경기도,41280,고양시,502,45,"33,372",2.5,1.9,2,2026-02-14T23:08:21.279293
41,경기도,41290,과천시,3,0,272,0,0,0,2026-02-14T23:08:21.279293
41,경기도,41310,구리시,19,1,"1,219",0.1,0.1,0.1,2026-02-14T23:08:21.279293
41,경기도,41360,남양주시,346,34,"22,766",1.7,1.4,1.4,2026-02-14T23:08:21.279293
41,경기도,41370,오산시,72,10,"8,061",0.4,0.4,0.5,2026-02-14T23:08:21.279293
41,경기도,41390,시흥시,458,67,"36,679",2.3,2.9,2.2,2026-02-14T23:08:21.279293
41,경기도,41410,군포시,27,10,"2,112",0.1,0.4,0.1,2026-02-14T23:08:21.279293
41,경기도,41430,의왕시,17,1,"1,644",0.1,0.1,0.1,2026-02-14T23:08:21.279293
41,경기도,41450,하남시,51,4,"3,831",0.3,0.2,0.2,2026-02-14T23:08:21.279293
41,경기도,41460,용인시,510,54,"39,338",2.6,2.3,2.4,2026-02-14T23:08:21.279293
41,경기도,41480,파주시,"1,345",141,"88,047",6.8,6.1,5.3,2026-02-14T23:08:21.279293
41,경기도,41500,이천시,"1,346",181,"157,983",6.8,7.8,9.5,2026-02-14T23:08:21.279293
41,경기도,41550,안성시,"2,097",246,"174,147",10.5,10.6,10.5,2026-02-14T23:08:21.279293
41,경기도,41570,김포시,"1,430",125,"63,816",7.2,5.4,3.8,2026-02-14T23:08:21.279293
41,경기도,41590,화성시,"2,941",318,"230,340",14.8,13.7,13.8,2026-02-14T23:08:21.279293
41,경기도,41610,광주시,556,55,"36,219",2.8,2.4,2.2,2026-02-14T23:08:21.279293
41,경기도,41630,양주시,674,64,"33,432",3.4,2.8,2,2026-02-14T23:08:21.279293
41,경기도,41650,포천시,"1,757",205,"115,949",8.8,8.8,7,2026-02-14T23:08:21.279293
41,경기도,41670,여주시,"1,610",202,"183,717",8.1,8.7,11,2026-02-14T23:08:21.279293
41,경기도,41800,연천군,976,210,"184,497",4.9,9,11.1,2026-02-14T23:08:21.279293
41,경기도,41820,가평군,407,43,"40,742",2,1.9,2.4,2026-02-14T23:08:21.279293
41,경기도,41830,양평군,600,36,"28,447",3,1.5,1.7,2026-02-14T23:08:21.279293
43,충청북도,43110,청주시,"3,442",381,"277,357",22.6,21.5,18,2026-02-14T23:08:21.279293
43,충청북도,43130,충주시,"1,712",180,"162,596",11.2,10.2,10.5,2026-02-14T23:08:21.279293
43,충청북도,43150,제천시,"1,081",118,"105,676",7.1,6.6,6.8,2026-02-14T23:08:21.279293
43,충청북도,43720,보은군,"1,210",140,"160,859",7.9,7.9,10.4,2026-02-14T23:08:21.279293
43,충청북도,43730,옥천군,"1,613",164,"163,522",10.6,9.3,10.6,2026-02-14T23:08:21.279293
43,충청북도,43740,영동군,"1,076",114,"110,548",7.1,6.4,7.2,2026-02-14T23:08:21.279293
43,충청북도,43745,증평군,406,39,"34,011",2.7,2.2,2.2,2026-02-14T23:08:21.279293
43,충청북도,43750,진천군,"1,085",150,"127,746",7.1,8.5,8.3,2026-02-14T23:08:21.279293
43,충청북도,43760,괴산군,"1,262",149,"132,591",8.3,8.4,8.6,2026-02-14T23:08:21.279293
43,충청북도,43770,음성군,"1,784",247,"190,046",11.7,13.9,12.3,2026-02-14T23:08:21.279293
43,충청북도,43800,단양군,552,92,"77,790",3.6,5.2,5,2026-02-14T23:08:21.279293
44,충청남도,44130,천안시,"2,435",293,"178,350",9.5,7,5.1,2026-02-14T23:08:21.279293
44,충청남도,44150,공주시,"2,103",210,"213,921",8.2,5,6.1,2026-02-14T23:08:21.279293
44,충청남도,44180,보령시,"1,448",206,"225,553",5.7,4.9,6.5,2026-02-14T23:08:21.279293
44,충청남도,44200,아산시,"1,892",267,"221,690",7.4,6.4,6.4,2026-02-14T23:08:21.279293
44,충청남도,44210,서산시,"1,746",535,"430,480",6.8,12.8,12.4,2026-02-14T23:08:21.279293
44,충청남도,44230,논산시,"3,367",353,"401,590",13.2,8.4,11.5,2026-02-14T23:08:21.279293
44,충청남도,44250,계룡시,49,4,774,0.2,0.1,0,2026-02-14T23:08:21.279293
44,충청남도,44270,당진시,"1,988",480,"299,745",7.8,11.5,8.6,2026-02-14T23:08:21.279293
44,충청남도,44710,금산군,"1,788",211,"219,485",7,5,6.3,2026-02-14T23:08:21.279293
44,충청남도,44760,부여군,"1,830",249,"280,772",7.1,6,8.1,2026-02-14T23:08:21.279293
