orig_idx,SIG_CD,SIG_KOR_NM
396,51130,원주시
397,41130,성남시 분당구
397,41130,성남시
398,41130,성남시 분당구
398,41130,성남시
399,41130,성남시 분당구
399,41130,성남시
400,41570,김포시
401,41570,김포시
402,41570,김포시
403,27230,북구
404,41650,포천시
405,41650,포천시
406,51150,강릉시
407,51790,화천군
408,51110,춘천시
409,51110,춘천시
410,51720,홍천군
411,51110,춘천시
412,41800,연천군
413,41650,포천시
414,41650,포천시
415,41590,화성시
416,41590,화성시
417,41590,화성시
418,41590,화성시
419,41590,화성시
420,41590,화성시
421,41590,화성시
422,41590,화성시
423,41390,시흥시
424,41190,부천시
425,41190,부천시
426,41190,부천시
427,44825,태안군
428,41590,화성시
429,44825,태안군
430,41270,안산시 단원구
430,41270,안산시
431,41270,안산시 단원구
431,41270,안산시
432,41270,안산시 단원구
432,41270,안산시
433,,
434,41390,시흥시
435,41390,시흥시
436,41270,안산시 단원구
436,41270,안산시
437,41270,안산시
437,41270,안산시 상록구
438,41390,시흥시
439,41390,시흥시
440,28710,강화군
441,47170,안동시
442,41220,평택시
443,41220,평택시
444,41220,평택시
445,41220,평택시
446,30200,유성구
447,41370,오산시
448,41110,수원시 영통구
448,41110,수원시
449,41280,고양시
449,41280,고양시 일산동구
450,41280,고양시 일산서구
450,41280,고양시
451,41830,양평군
452,41360,남양주시
453,41360,남양주시
454,41830,양평군
455,41830,양평군
456,41310,구리시
457,47770,영덕군
458,41360,남양주시
459,41630,양주시
460,41150,의정부시
461,41150,의정부시
462,47750,청송군
463,47170,안동시
464,41460,용인시
464,41460,용인시 기흥구
465,41460,용인시
465,41460,용인시 수지구
466,41460,용인시 처인구
466,41460,용인시
467,41460,용인시
467,41460,용인시 기흥구
468,41460,용인시
468,41460,용인시 기흥구
469,41110,수원시 권선구
469,41110,수원시
470,41430,의왕시
471,41110,수원시
471,41110,수원시 장안구
472,41460,용인시
472,41460,용인시 기흥구
473,41170,안양시 동안구
473,41170,안양시
474,41550,안성시
475,41500,이천시
476,41610,광주시
477,41130,성남시
477,41130,성남시 수정구
477,41130,성남시 중원구
478,41500,이천시
479,41500,이천시
480,44270,당진시
481,44760,부여군
482,44760,부여군
483,44710,금산군
484,44710,금산군
485,44270,당진시
486,44210,서산시
487,48120,창원시 성산구
487,48120,창원시
488,48120,창원시
488,48120,창원시 의창구
489,48120,창원시
489,48120,창원시 진해구
490,48120,창원시 성산구
490,48120,창원시
491,48120,창원시 성산구
491,48120,창원시
492,48120,창원시 성산구
492,48120,창원시
493,48120,창원시
493,48120,창원시 의창구
494,30170,서구
495,30110,동구
496,48120,창원시 성산구
496,48120,창원시
497,44810,예산군
498,44770,서천군
499,26230,부산진구
500,48220,통영시
501,48120,창원시 마산합포구
501,48120,창원시
502,48240,사천시
503,48220,통영시
504,48310,거제시
505,48170,진주시
506,48250,김해시
507,48270,밀양시
508,48120,창원시
508,48120,창원시 마산회원구
509,48120,창원시 마산합포구
509,48120,창원시
510,48120,창원시
510,48120,창원시 마산회원구
511,48270,밀양시
512,48120,창원시 성산구
512,48120,창원시
513,47230,영천시
514,47130,경주시
515,47130,경주시
516,47113,포항시 북구
517,47111,포항시 남구
518,47130,경주시
519,47130,경주시
520,48730,함안군
521,47113,포항시 북구
522,47150,김천시
523,47150,김천시
524,47190,구미시
525,47150,김천시
526,47150,김천시
527,47190,구미시
528,27710,달성군
529,27230,북구
530,47830,고령군
531,27290,달서구
532,27710,달성군
533,27710,달성군
534,47113,포항시 북구
535,47111,포항시 남구
536,47130,경주시
537,47130,경주시
538,47290,경산시
539,47290,경산시
540,47290,경산시
541,47850,칠곡군
542,47170,안동시
543,47930,울진군
544,47930,울진군
545,47900,예천군
546,47210,영주시
547,47280,문경시
548,47250,상주시
549,47190,구미시
550,47730,의성군
551,47190,구미시
552,47190,구미시
553,27720,군위군
554,47190,구미시
555,47190,구미시
556,27290,달서구
557,27710,달성군
558,27290,달서구
559,27290,달서구
560,27230,북구
561,27110,중구
562,27230,북구
563,28177,미추홀구
564,28237,부평구
565,28177,미추홀구
566,28140,동구
567,28140,동구
568,28260,서구
569,28200,남동구
570,28110,중구
571,28110,중구
572,28110,중구
573,28185,연수구
573,28200,남동구
574,28260,서구
575,28260,서구
576,28260,서구
577,28237,부평구
578,27140,동구
579,27230,북구
580,27230,북구
581,46130,여수시
582,46150,순천시
583,46130,여수시
584,46230,광양시
585,46150,순천시
586,29110,동구
587,29170,북구
588,29170,북구
589,29170,북구
590,29140,서구
591,29140,서구
592,46720,곡성군
593,46730,구례군
594,46170,나주시
595,28200,남동구
596,28200,남동구
597,28185,연수구
598,28185,연수구
599,28200,남동구
600,28200,남동구
601,28200,남동구
602,28110,중구
603,46130,여수시
604,46710,담양군
605,46830,영암군
606,46860,함평군
607,46840,무안군
608,46790,화순군
609,51760,평창군
610,51760,평창군
611,51760,평창군
612,51760,평창군
613,51230,삼척시
614,51130,원주시
615,51130,원주시
616,51130,원주시
617,51130,원주시
618,51730,횡성군
619,52730,무주군
620,52130,군산시
621,52130,군산시
622,52111,전주시 완산구
623,52113,전주시 덕진구
624,52750,임실군
625,52190,남원시
626,52210,김제시
627,52130,군산시
628,52130,군산시
629,52790,고창군
630,52180,정읍시
631,51130,원주시
632,51170,동해시
633,51770,정선군
634,51770,정선군
635,51230,삼척시
636,43760,괴산군
637,43770,음성군
638,52111,전주시 완산구
639,52180,정읍시
640,52740,장수군
641,52140,익산시
642,52140,익산시
643,52710,완주군
644,52710,완주군
645,43800,단양군
646,43770,음성군
647,43110,청주시
647,43110,청주시 흥덕구
648,43110,청주시
648,43110,청주시 흥덕구
649,43110,청주시
649,43110,청주시 청원구
650,43110,청주시 서원구
650,43110,청주시
651,43130,충주시
652,43130,충주시
653,43110,청주시
653,43110,청주시 흥덕구
654,43110,청주시
654,43110,청주시 흥덕구
655,43720,보은군
656,41550,안성시
657,43750,진천군
658,43150,제천시
659,43760,괴산군
660,43150,제천시
661,43730,옥천군
662,30230,대덕구
663,30170,서구
664,30230,대덕구
665,31710,울주군
666,31140,남구
667,31710,울주군
668,31710,울주군
669,31710,울주군
670,31710,울주군
671,31710,울주군
672,50110,제주시
673,30110,동구
674,30230,대덕구
675,46130,여수시
676,52113,전주시 덕진구
677,52210,김제시
678,36110,세종특별자치시
679,36110,세종특별자치시
680,50130,서귀포시
681,50130,서귀포시
682,50110,제주시
683,48120,창원시
683,48120,창원시 마산회원구
684,11710,송파구
685,11650,서초구
686,41480,파주시
687,26470,연제구
688,44270,당진시
689,41590,화성시
690,44133,천안시 서북구
691,44200,아산시
692,43110,청주시
692,43110,청주시 흥덕구
693,11680,강남구
694,28710,강화군
695,11230,동대문구
696,29200,광산구
697,11650,서초구
698,44210,서산시
699,26410,금정구
700,26350,해운대구
701,11530,구로구
702,11500,강서구
703,11200,성동구
704,11200,성동구
705,11200,성동구
706,11215,광진구
707,11215,광진구
708,11680,강남구
709,11650,서초구
710,11680,강남구
711,11710,송파구
712,11740,강동구
713,11545,금천구
714,11620,관악구
715,11470,양천구
716,11470,양천구
717,11530,구로구
718,11590,동작구
719,11110,종로구
720,11410,서대문구
721,11260,중랑구
722,11350,노원구
723,11320,도봉구
724,11170,용산구
725,41610,광주시
726,11560,영등포구
727,11560,영등포구
728,11110,종로구
729,11110,종로구
730,11230,동대문구
731,29200,광산구
732,52140,익산시
733,52180,정읍시
734,48120,창원시
734,48120,창원시 의창구
735,36110,세종특별자치시
736,41370,오산시
737,41170,안양시 동안구
737,41170,안양시
