sido_code,sido_name,gugun_code,gugun_name,cnt,inst_capa,gelec_qty,cnt_ratio,capa_ratio,gelec_diff
51,강원특별자치도,51770,정선군,297,"87,866",14.77,2.6,4.3,0.15
51,강원특별자치도,51780,철원군,882,"213,272",14.72,7.6,10.5,0.10
51,강원특별자치도,51790,화천군,539,"102,820",13.95,4.7,5.1,-0.67
51,강원특별자치도,51800,양구군,788,"98,027",14.06,6.8,4.8,-0.56
51,강원특별자치도,51810,인제군,877,"114,474",14.62,7.6,5.6,0.00
51,강원특별자치도,51820,고성군,675,"123,845",15.38,5.8,6.1,0.76
51,강원특별자치도,51830,양양군,99,"21,345",14.68,0.9,1.1,0.06
52,전북특별자치도,52110,전주시,"1,194","86,127",16.04,3.3,1.8,-0.31
52,전북특별자치도,52130,군산시,"2,249","666,121",16.64,6.1,14.0,0.29
52,전북특별자치도,52140,익산시,"5,793","667,905",16.58,15.8,14.1,0.23
52,전북특별자치도,52180,정읍시,"4,597","505,076",16.11,12.6,10.6,-0.24
52,전북특별자치도,52190,남원시,"3,864","538,125",16.13,10.6,11.3,-0.22
52,전북특별자치도,52210,김제시,"4,943","575,981",16.64,13.5,12.1,0.29
52,전북특별자치도,52710,완주군,"2,557","308,086",15.9,7.0,6.5,-0.45
52,전북특별자치도,52720,진안군,"1,557","166,141",16.03,4.3,3.5,-0.32
52,전북특별자치도,52730,무주군,781,"70,774",16.49,2.1,1.5,0.14
52,전북특별자치도,52740,장수군,"1,468","208,575",15.84,4.0,4.4,-0.51
52,전북특별자치도,52750,임실군,"1,956","220,680",15.5,5.3,4.6,-0.85
52,전북특별자치도,52770,순창군,"1,043","121,928",15.61,2.9,2.6,-0.74
52,전북특별자치도,52790,고창군,"1,950","254,698",16.76,5.3,5.4,0.41
52,전북특별자치도,52800,부안군,"2,628","357,401",17.47,7.2,7.5,1.12
